Name,Arguments,Type
file.changeName:before,"$file,$name",trigger
file.changeName:after,"$newFile,$oldFile",trigger
file.changeSort:before,"$file,$position",trigger
file.changeSort:after,"$newFile,$oldFile",trigger
file.create:before,"$file,$upload",trigger
file.create:after,$file,trigger
file.delete:before,$file,trigger
file.delete:after,"$status,$file",trigger
file.replace:before,"$file,$upload",trigger
file.replace:after,"$newFile,$oldFile",trigger
file.update:before,"$file,$input",trigger
file.update:after,"$newFile,$oldFile",trigger
kirbytags:before,"$text,$data,$options",trigger
kirbytags:after,"$text,$data,$options",trigger
kirbytext:before,"$text",apply
kirbytext:after,"$text",apply
page.changeNum:before,"$page,$num",trigger
page.changeNum:after,"$newPage,$oldPage",trigger
page.changeSlug:before,"$page,$slug",trigger
page.changeSlug:after,"$newPage,$oldPage",trigger
page.changeStatus:before,"$page,$status,$position",trigger
page.changeStatus:after,"$newPage,$oldPage",trigger
page.changeTemplate:before,"$page,$template",trigger
page.changeTemplate:after,"$newPage,$oldPage",trigger
page.changeTitle:before,"$page,$title",trigger
page.changeTitle:after,"$newPage,$oldPage",trigger
page.create:before,"$parent,$input",trigger
page.create:after,$page,trigger
page.delete:before,$page,trigger
page.delete:after,"$status,$page",trigger
page.update:before,"$page,$values,$strings",trigger
page.update:after,"$newPage,$oldPage",trigger
route:before,"$route,$path,$method",trigger
route:after,"$route,$path,$method,$result",trigger
site.update:before,"$site,$values,$strings",trigger
site.update:after,"$newSite,$oldSite",trigger
user.changeEmail:before,"$user,$email",trigger
user.changeEmail:after,"$newUser,$oldUser",trigger
user.changeName:before,"$user,$name",trigger
user.changeName:after,"$newUser,$oldUser",trigger
user.changeLanguage:before,"$user,$language",trigger
user.changeLanguage:after,"$newUser,$oldUser",trigger
user.changePassword:before,$user,trigger
user.changePassword:after,"$newUser,$oldUser",trigger
user.changeRole:before,"$user,$role",trigger
user.changeRole:after,"$newUser,$oldUser",trigger
user.create:before,$input,trigger
user.create:after,$user,trigger
user.delete:before,$user,trigger
user.delete:after,"$status,$user",trigger
user.update:before,"$user,$values,$strings",trigger
user.update:after,"$newUser,$oldUser",trigger
